"decade","pop_10","w_farm_10","w_lab_10","w_craft_10","w_help_05","allen_w","d_hw","inc_hw","broad_pop_hf","broad_pop_lf","pop_ind","pop_nb_com","pop_07","efficiency_DE","efficiency_NDP","efficiency_DE16","efficiency_NDP16","allen05_TFP_agriculture","capital_stock_gross","capital_stock_net","interest_rate","wrigley_prod","allen_prod","w_ind","rent_ind","r_land","r_rents","land_share","capital_share","wrigley_pop"
1200,3.16,88.8415732650162,,80.6733361147923,,,,,3.49467996918036,,40.3,1,,108.2,100,92.7656130482212,86.2069084530279,,,,9.8,,,0.317138670360187,0.243843549071037,9.63360457030288,9.38,0.27,0.252,
1210,3.39594608032392,72.0456764081962,,52.3353055931728,,,,,3.79504574340744,,46.4,1,,98.7,91.3,84.6157951808236,78.6332981494083,,,,10.7,,,0.269674458703137,0.214288759506363,12.4237220481387,10.34,0.26,0.268,
1220,3.73800480305591,60.5785742180697,51.7915348767005,56.3071037860867,45.6,51.7915348767005,,,4.00805678603083,3.97,51.7,1,,90.7,83.8,72.8695783351095,67.7175610889361,,,,10.1,,,0.233696902086299,0.195487687864092,10.6172816232232,10,0.245,0.263,
1230,3.90390481354016,59.2580950848558,,,,,,,4.09377063251807,,58,1,,85.4,79,72.2281390377891,67.1214727652,,,,11.1,,,0.223670095257478,0.161088524609308,10.6637667788223,11.11,0.208,0.282,
1240,3.86500930830945,61.1320539253255,58.464596197428,62.4842155438296,56.7,58.464596197428,,,4.18131750280509,,70.1,1,,88.5,81.8,70.0913599294837,65.1357679881693,,,,9.7,,,0.217541085600982,0.217008034797609,9.86873021898635,10,0.262,0.257,
1250,3.83775701057082,56.9230029459372,53.5503445201616,66.5529529893208,48.2,53.5503445201616,,,4.26017309920038,4.23,71.1,2,4.21,85,78.6,72.8057298624207,67.6582268242331,,,,11.3,,,0.226966296088757,0.161304690733673,12.8862495010302,11.15,0.203,0.284,
1260,4.30939689984994,59.7770720179122,56.0603471815524,63.0737229939985,46.9,56.0603471815524,177.655202033946,1.22,4.32747769506067,,92,3,4.92,81.1,74.9,68.7824564429333,63.9194064579519,,,,11.2,,,0.216701761361385,0.151350684788152,12.4746883881625,11.11,0.175,0.319,
1270,4.87226602796315,47.0120923494083,35.6038672055278,44.6801446628144,32.4,35.6038672055278,182.131092114773,1.18,4.39584560654651,4.43,84.1,5,5.38,66,61,55.529053596898,51.6030443028787,,,,11,,,0.159985724035796,0.111045718124571,10.2186730748705,11.11,0.155,0.319,
1280,4.87751430725494,55.7414629903602,40.5399474008642,52.4983955731932,35.3,40.5399474008642,177.128022024178,1.21,4.5871158643235,,89.4,7,5.18,70.8,65.5,61.0468631744275,56.7307342892971,,,,10.2,,,0.187095773397022,0.12751571114842,9.16103968660858,11.11,0.16,0.29,
1290,5.31869186860363,48.5919608891561,35.7427494046485,46.5815612854477,32.7,35.7427494046485,184.965083394793,1.24,4.7402009416605,4.75,94,8,5.62,66.2,61.2,55.4553737279089,51.5345737402203,,,,10.3,,,0.161990477811412,0.12459468614735,8.47463423336561,10,0.164,0.285,
1300,5.31517315660813,51.1299570818232,40.9531494612706,51.2724614710056,35.8,40.9531494612706,204.879907627001,1.23,4.71519988403419,,96.7,10,5.53,66.2,61.2,56.4810838236548,52.4877641888981,0.62,,,8.5,,0.431878611766563,0.170713975141599,0.131131743184856,8.6040942203932,8.23,0.17,0.252,
1310,5.6102000893982,44.1574993496046,36.5100925220579,45.2143972731724,32.7,36.5100925220579,199.275902542323,1.19,4.63279819473367,4.69,100,12,5.98,60.6,56,51.8656353674603,48.1986366829331,,,,8,,,0.147942245934945,0.118985496095191,6.91768262707547,8.04303286501025,0.168,0.249,
1320,4.971000446991,51.0830367179159,37.9953806137597,48.1885499918744,32.5,37.9953806137597,195.932113214654,1.21,4.22628471986193,4.12,91.9,12,5.34,73.2,67.7,63.3330859833947,58.8553168142184,,,,12.3,,,0.169954514859105,0.144112766223957,6.9663646416999,12.3333333333333,0.181,0.309,
1330,4.67979288162609,59.2507028922141,45.3082263490312,56.6606953628405,37.6,45.3082263490312,158.292001558086,1.2,4.39160660813757,,90.3,14,5.06,75.4,69.7,65.8072876892276,61.1545877718542,,,,9.7,,,0.195543299527176,0.169754168091787,6.66221463521124,,0.206,0.265,
1340,4.48404939921261,60.7317075998816,45.0322059460178,52.852520078047,37.2,45.0322059460178,172.127635872502,1.21,4.60894050565464,4.81,83.4,11,4.86,70.4,65.1,60.9776678742739,56.666431227961,,,,7.1,,,0.195654330935878,0.168785682316509,7.43862623519017,7.08333342708334,0.227,0.224,
1350,3.54473263549531,91.2410394065089,50.8378699409625,59.3217211144597,43.1,50.8378699409625,104.172632638735,1.21,2.64805102050144,2.6,52.9,8,3.37,73.7,68.1,70.7412205639205,65.7396822445328,,,,7.6,,,0.267337718946983,0.119164025118332,,,0.169,0.211,
1360,3.16922899937028,90.530010005636,59.1991589318694,62.6308139376577,52,59.1991589318694,109.187143819954,1.21,2.5492097729897,,56.4,8,3.5,77.4,71.6,72.9389022478064,67.781983669665,,,,8.1,,,0.276626966129509,0.133333401135629,,8.125,0.194,0.219,
1370,3.16229155589608,100.44528955632,63.7872202485274,66.818835672353,53.9,63.7872202485274,99.5410890718498,1.33,2.5050328590732,2.5,58.2,8,3.37,74.9,69.2,74.5598347970852,69.2883132167093,,,,,,,0.294039476961499,0.11897056363345,7.5,5,0.18,0.168,
1380,2.81116641958983,118.276765130697,75.5926577908075,77.363663575559,62.4,75.5926577908075,103.855822682482,1.43,2.35598224501751,,53.4,9,2.99,85.8,79.3,84.4919110246928,78.5181728378255,,,,,,,0.349440144056664,0.148454019378844,,,0.206,0.167,
